Name,Category,Category Key,Address,Latitude,Longitude,Phone,Website,Google Maps URL,Photo URL (raw),Google Summary,Opening Hours,Google Rating,Google Review Count,Google Types (raw),Google Place ID,Source,Scrape Date,Status,Chain Flag,Editor Notes,Story Draft,Distance (m)
Khan Foodstore,Food & Produce,food_produce,"287 Stapleton Rd, Easton, Bristol BS5 0NG, UK",51.46624689999999,-2.5687127,0117 951 1371,,https://maps.google.com/?cid=10886342905801112437,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEEzcXdswrOuphYNQSXVo06uxn83J_rs8kLNi_sW4yjaGbdCTKFWTSPN3ILH9xBDxmV4RVgn6umflkgbi2u-8y0WtiXOcwTFMGF-WyCjB91xaEWt8GhnBndbbZUPLO0hKRH4rI5CSl22sV1db5tLOk0oJ0BR5SW7HHKm1UgI8sAgVcY95g7JpK5lJBCWnilxMMsB3lkYj6yM4SUhv165eoZ0_7Qj5xqoZUVSEakdjlXtSfYFnCeDZ_sp1S3B4s-8nYmsH1F_rAjypSuWMD9TSIocSxhY2w2FgJsa1XLu9cYk2i7HbyfTGptyeSKe_PnSvletnj2AHq5YFAwhaDOMa8kOZE1IC1Dy-uglyB0Meugiplmndper2mtBoCy3asvlsF5gQGpHTsBzmFbcGc4bVtSkmDSLcjNwUZoR2FsQ_-64nON0&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,4.4,13,"convenience_store, establishment, food, grocery_or_supermarket, point_of_interest, store, supermarket",ChIJV-L4ez-OcUgRdXteyzEPFJc,Google Places,2026-04-08,Pending,,,,324
Biedronka,Food & Produce,food_produce,"276 Stapleton Rd, Easton, Bristol BS5 0NW, UK",51.4666327,-2.5687568,,,https://maps.google.com/?cid=72498647314623712,,,Monday: 9:00 AM – 11:00 PM | Tuesday: 9:00 AM – 11:00 PM | Wednesday: 9:00 AM – 11:00 PM | Thursday: 9:00 AM – 11:00 PM | Friday: 9:00 AM – 11:00 PM | Saturday: 9:00 AM – 11:00 PM | Sunday: 9:00 AM – 11:00 PM,4.7,32,"establishment, food, grocery_or_supermarket, point_of_interest, store, supermarket",ChIJA2xMdz-OcUgR4GzityKRAQE,Google Places,2026-04-08,Pending,,,,366
Star Cash & Carry,Food & Produce,food_produce,"6 Roman Rd, Easton, Bristol BS5 6DH, UK",51.466218,-2.5644146,0117 935 4270,,https://maps.google.com/?cid=8063421348055098194,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEEYDwDCvN6wO9TjzouuaVPFwf06bJyOoKsg-kd--IApTMjsklJ5FKLNIWknXcQl7hqMKTVPXkjsGr744baEshEQ1T18VbVf0TH4PKiDR9yD6YGRJp9S5hXbglwFYpnGdk1Jil5lB5ZEGkoj3rc_mfnROXd86AYGOzRualKG4NuEdVb6XoXRveJ2dwvtnRfdhibLtEt4VsoShpy4ZCccUndPb-Z5cLWalfieBBbeueSdlRJvllLT_7VBYjNtPKrj0gbhgUn5S6jR_4HNQ3IgVDqmnzzJ_3GJjU39b6-7yspfCg&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: 8:15 AM – 7:00 PM | Tuesday: 8:15 AM – 7:00 PM | Wednesday: 8:15 AM – 7:00 PM | Thursday: 8:15 AM – 7:00 PM | Friday: 8:15 AM – 7:00 PM | Saturday: 8:15 AM – 7:00 PM | Sunday: 8:45 AM – 6:30 PM,4.6,64,"establishment, food, grocery_or_supermarket, point_of_interest, store, supermarket",ChIJacIQnziOcUgRUiMghf4G528,Google Places,2026-04-08,Pending,,,,367
Unique Mobile,Food & Produce,food_produce,"132 Stapleton Rd, St Jude's, Bristol BS5 0PU, UK",51.46209529999999,-2.5724182,07878 375833,https://www.facebook.com/ahmed.qurashi.31392,https://maps.google.com/?cid=10166283298334005765,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEGR26euTZ16mte5I5IHwG_56b53IxufHZmmaj5eoepDvOsnjStrzVzJapPPwL7PTV4z_xes-sPQP7tCIMXiC0Dbr8hxk9qey11GWTAXmJoPVdhwvAXdnarpn2c-gS97ROfrr4sWI9VObXVgauDL99DUeK4tVvOyW2k6CcD9KP-xBR3QHx7XebCChEgdVYeusgHlDYQ-RH5aMeYktDv0cZjvdQaMpJz_XIdmBS61n0O8EXGvVGJps68GzKKEt0MPUEWNE73M6vmxuDKHgnxpMALXaBEdKogJmTBwpDtdJjEujQ&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,,5,1,"establishment, food, grocery_or_supermarket, point_of_interest, store, supermarket",ChIJ2zswoQOPcUgRBVov68vkFY0,Google Places,2026-04-08,Pending,,,,385
Nawroz Supermarket,Food & Produce,food_produce,"118 Stapleton Rd, St Jude's, Bristol BS5 0PS, UK",51.4616918,-2.5729402,0117 462 4131,,https://maps.google.com/?cid=3120200686827292957,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEEWyBp_-z2nyzd0cplfNk9laW3V-0aEN_r-YSFFmoYL00NJ3IEXb4XBk_VocY1Lrh6WYbehLqw6lOP8Qv6CftR41uELGC6Ra_Age9upXZK1uGnv8hDufgze_RyfKW_AgtmJ5uU54lxru2WZvan0OS_AtWkOZwOycpQ9-9gcJ2lANybVmBmxT3cZ6uQvwWeje3mbqY_J-pfSJNRM3G_GsB7pIw1Vf28I2gyxoA8OM9ztnIpTLDqhi_WgzMGNZ7I9HFWEdRP0CCVFago9UhrtwLxeh2mr4dwDPV-Mq8NpbYui_dKZG20T2ddLOdNClLdhHmPRHOE6suLc5MRANLYa0e2G9iYSunIysXFTOHa2hZ1AH-k-aDq267IJ6RwU93_OIcE3ESfz1LOTaaWuyxlBBHvQH6WnDaEPkBWR1Hp7EQbrYd32mw8BDAwhJJUmCg&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: 9:00 AM – 11:00 PM | Tuesday: 9:00 AM – 11:00 PM | Wednesday: 9:00 AM – 11:00 PM | Thursday: 9:00 AM – 11:00 PM | Friday: 9:00 AM – 11:00 PM | Saturday: 9:00 AM – 11:00 PM | Sunday: 9:00 AM – 11:00 PM,4.3,8,"establishment, food, grocery_or_supermarket, point_of_interest, store, supermarket",ChIJFbb8a5uPcUgRHUlFPv4tTSs,Google Places,2026-04-08,Pending,,,,436
Piri Piri Corner,Food & Produce,food_produce,"250a Stapleton Rd, Easton, Bristol BS5 0NP, UK",51.4659234,-2.5692849,0117 951 1711,https://piripiri-corner.co.uk/delivery,https://maps.google.com/?cid=14340776787183252767,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEFZzFhejBWL1UyKFXjWPjzVp8MyMdUVp0qDqAk3DHWrEi0ktefq_SraH4mZUysXrYr8bcCPMSe9PvaLuOS74l05rvozd848xd-KIQDacCl4htnwBR2OrMcy_37XkjuC1UPKkJxQmAeJmLQT_ACCmNI4keD4S2LUfOibSjePX1VqHfYqiyIV0rxUBVh-E0wXUco5ZrmjOKm4EwD79LWtzHeRHZsvqdFtOgSqjdaNzu6p-1QsfeycOqvA2WdTSpGX4vttTyOukTYdBD1Waq4CeKTr5MkyMzojTXwbo8xouOWlQIRacR2hYYafa7YyxfJYHV_OtHDpKpGyUcuOfuU0tsxmDhD9c6UT4rDvFRhv83LP7X-BlanbvKrexmjxiDHhHQo9FV8VODboned0f48Rqd2xoCcwItKCAzZF1wMlN1WIm10j&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: 11:00 AM – 12:00 AM | Tuesday: 11:00 AM – 12:00 AM | Wednesday: 11:00 AM – 12:00 AM | Thursday: 11:00 AM – 12:00 AM | Friday: 11:00 AM – 2:00 AM | Saturday: 11:00 AM – 2:00 AM | Sunday: 11:00 AM – 1:00 AM,3.6,372,"establishment, food, meal_takeaway, point_of_interest, restaurant",ChIJ2VKlgT-OcUgRH7U524GsBMc,Google Places,2026-04-08,Pending,,,,306
Geppetto’s Pizza,Food & Produce,food_produce,"2B High St, Easton, Bristol BS5 6DL, UK",51.4664789,-2.5648677,0117 902 8153,,https://maps.google.com/?cid=4822321988060032063,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEHnl2dUc2CiIjBzQHqwR3rBCG3NvGvJ2LGb9j0D8mkpTuo7qEddYOFuV6udu_lrT_oDd58Fi-fVOS0OPnTNG-ppvMan993vXFgpcfreKTEWAlMdeEMgweqJT4CKDryVwc0847UKaIk-ODz_x1irlz2YbTKps8zANDgQFyJUZcNaHDu9PHLj5OJOUFQO8H1zzqvbiIocmpPB2vGEVeDNGdAROH4rbIVqF0t0npmy5E0Awa7FcudgyRDeDVHJCUVSMj0Ocfk0dxbyuroZWsqpTJhQKz-qQx7DyV7JT5Yuh9A57g&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: Closed | Tuesday: 4:00 – 9:00 PM | Wednesday: 4:00 – 9:00 PM | Thursday: 4:00 – 10:00 PM | Friday: 4:00 – 10:00 PM | Saturday: 4:00 – 10:00 PM | Sunday: 4:00 – 9:00 PM,4.8,443,"bar, establishment, food, meal_takeaway, point_of_interest, restaurant",ChIJjyB_pDiOcUgRP6zfYkxU7EI,Google Places,2026-04-08,Pending,,,,376
Lucky Chef,Food & Produce,food_produce,"197 Easton Rd, Easton, Bristol BS5 0HQ, UK",51.4618413,-2.5651865,0117 955 4778,https://luckychef.co.uk/Q1Wu,https://maps.google.com/?cid=6894217636631329633,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEGKjGLOhWdzMUzcOMs2nD-_tqmIstEC4Nfx62pTy0W6W_Pr52WdDKAgVicYXYMttIuHnRYiDRLRM43Y4Dhx4tsSzQEl5KC5FQvHl_si5Srwf4xFhydl4iB3fc9XN1Zd8zxoW7-OSqmeNyEhx88K_ruL_hfFnRPR3DgDAF3w4AZNCrxudL0sr5u5H8uR_mF35IdW-EVM5HuNOKPtiMJtg29btBtLmB9ouf1iX472Q2NvvFi89LmRkNCotHpZonNOE6xWPppceHqj7Ko1RsDT4knOPj0uzJdqfCHw1BDTos4_P9IYzgH2M9zqMxEKjoTYPep8a9eHTkH8vlwTj4ZCIFvX0BlHK2Yar6PnZEOJLJaPk_gQDs9HTfmWeR7eZKRIbvPHO_2Sj_mMDVGwiUstD9WET8he3vCXFtHITXAYCGLOiQ&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,"Classic Chinese and Thai dishes cooked in tucked-away, late-night takeaway with delivery option.",Monday: 5:00 – 11:30 PM | Tuesday: 5:00 – 11:30 PM | Wednesday: Closed | Thursday: 5:00 – 11:30 PM | Friday: 5:00 – 11:30 PM | Saturday: 5:00 – 11:30 PM | Sunday: 5:00 – 11:30 PM,3.5,193,"establishment, food, meal_takeaway, point_of_interest, restaurant",ChIJBaYgtEaOcUgRYbuk02kurV8,Google Places,2026-04-08,Pending,,,,233
Easton Takeaway,Food & Produce,food_produce,"87 Chelsea Rd, Easton, Bristol BS5 6AS, UK",51.4642339,-2.5635805,0117 955 8998,https://www.eastontakeaway.co.uk/,https://maps.google.com/?cid=8629716254229384214,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEE-vfeFhex1sprrqbtPwoeE6KXT4VFh1_HlmaSm0UzgpZnZno9mCP0UDaKFFPK94qVCqQUX7UdI23jbLPFCEGlxgWDwNts21iNb7_Kdu9IYYx5oHwIT2gHjls_IFbXqOtMwmAUvDbBeOPNLJgfqhDmhofzaXIi1DM7j635vX_N2lBhYTbHJJ2B4OB4uzyWi8-2PBowdyeA-j59HGZ-PG2mGzrExsI1F0MEFQySALQ7pu4OJ6_yY-4xFM2i5u26ZwIwqVkvXRSiPKHe2r21kjPOTj9dq_9MhHsftMlJGOm9Y6stYMeYSyW_lQf4Kj93u-8MC78Ph9WnCEOg6DKaU4YSJ4kcNXTU9d8CcJMKDmWO3LHq-kztCFOMqudo3JljTd8OIBSBi06heSR5tbI26D_IClVI9L1dpP4159JbXa-rHuQ&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: 12:00 – 11:00 PM | Tuesday: 12:00 – 11:00 PM | Wednesday: 12:00 – 11:00 PM | Thursday: 12:00 – 11:00 PM | Friday: 12:00 – 11:00 PM | Saturday: 12:00 – 11:00 PM | Sunday: 12:00 – 11:00 PM,4.1,190,"establishment, food, meal_delivery, meal_takeaway, point_of_interest, restaurant",ChIJ-SO_D0eOcUgRFszBBTbpwnc,Google Places,2026-04-08,Pending,,,,273
GARAM MASALA,Food & Produce,food_produce,"190 Stapleton Rd, Easton, Bristol BS5 0NZ, UK",51.4638497,-2.570616,0117 951 8276,https://www.garammasalaonline.co.uk/menu.php,https://maps.google.com/?cid=18295462356197314916,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEGHIeNQv1MzxNKWs-N4tk0VAXCTUx6rwxuji3jG940v2K2uzce3J_D4mjJnZt1ttz0U4t3Qs4dKninYyOQ78meZOLv6lv6QnnK6QMCVXypdZ9g8QdcxPmXvl9H6XHPupF-cFOIwgZNJXpHZ6fVoFydDlxpt3TtBh7LGf_dEQId843I9X3TgbYkHs6KTCvWoynBc-zviyZfD-OCrf8x02jhInef_celYH1MHj_G3tecO7bI5Nvy0hNR2pXoZ59bR3KBn9i-HOvIwTVKEcV6KTPSWTaim4o3yf7dP52Ex62UtEoBWQwqdNCQhuyxQVTeEUV3tVzWVNL1Gu5a0gifYmDDY-QDqUbY-kr2DUSsxsA0EnN2nmT7u8qcBd2mWzeA1ZJ8hGqH_JPpPtdxDqwU09oU5k-UKIgS2zpkroKrD31MCwY-UijIDQvCd7eEfwrLD&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: 1:00 – 10:00 PM | Tuesday: 1:00 – 10:00 PM | Wednesday: 1:00 – 10:00 PM | Thursday: 1:00 – 10:00 PM | Friday: 1:00 – 10:30 PM | Saturday: 1:00 – 10:30 PM | Sunday: 1:00 – 10:30 PM,4.7,23,"establishment, food, meal_takeaway, point_of_interest, restaurant",ChIJHwJnHN6PcUgRZBGsVhSK5v0,Google Places,2026-04-08,Pending,,,,232
CHILLZ TAKE-OUT,Food & Produce,food_produce,"117A Chelsea Rd, Easton, Bristol BS5 6AS, UK",51.4649331,-2.5638988,07448 497020,,https://maps.google.com/?cid=6504187202032292664,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEHhXCHgenjX9sI5tImsNYsRtHnkOFdsS6RnSi-fGVh-plPLYuo54qITwz0sNAmkDG_fce880-JlLajsZ4xhbpIa5xk2l67wwIyEbVXEBNyn7EiFvsa0tbhLV4ohTopngg23CloTrfg5hTijlD40Ba90dOZDWufis5Il_DwARbpGLEIees5Yko6fKaGPOZJk5NdCIkWoa8ZoBuOv7-u4-CqeCIsxaA4kYTUni-IEu-PNkE5IdXNym1sxVHoXMAMaKD5H9u2RchIIf0f7oxoHHn29rZHJsjdnMTyDklVDDC8nVv0aGSNOH8A9A9zv3LiYIEmllws0S5USuvZ7T3GwXvWThsU7SLOsDHaPdkpvhqCsTxGSa-CVKBu01nk5n_FZHf0gfaeCf59Axf7RM78t3fbhYb2t2vzBtsXdybcgAgwyjWo&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: Closed | Tuesday: 11:00 AM – 8:00 PM | Wednesday: 11:00 AM – 7:00 PM | Thursday: 11:00 AM – 7:00 PM | Friday: 11:00 AM – 11:00 PM | Saturday: 11:00 AM – 10:30 PM | Sunday: Closed,4.6,13,"establishment, food, meal_takeaway, point_of_interest, restaurant",ChIJRz9-hJ2PcUgRONPGscyDQ1o,Google Places,2026-04-08,Pending,,,,288
Khyber Restaurant,Food & Produce,food_produce,"266 Stapleton Rd, Easton, Bristol BS5 0NP, UK",51.4663408,-2.5689913,0117 462 5597,,https://maps.google.com/?cid=13754057040476209602,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEFJkKfdsEOnVxfwdimY0Ib1L_XFECro_V94h49JwOWtlRtoPmT6Cw4tAIGenlM30_3TImiV3StiZNC4KGL_ZQ8SDX_1YK33HcIzYzn65ltVC-pazoOYnVmP2ppdUfpCWamjUrl9POBBHZnr7lRX5gzVTQ-9tGMcQRsXwjwVNnFQOaA3Miv5ueUn-jEvwXh1FUFZP9W344KI-8ZjyBURc2De4ScKPm2E-YUuZD7tWJCepxXRq1zAj4Eox8qwAtm3PMiVwtVVQuI76QOxqi44x9rbLOAJQfo5S_8uFYv9rgAoLw&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: 11:00 AM – 12:30 AM | Tuesday: 11:00 AM – 12:30 AM | Wednesday: 11:00 AM – 12:30 AM | Thursday: 11:00 AM – 12:30 AM | Friday: 11:00 AM – 12:30 AM | Saturday: 11:00 AM – 12:30 AM | Sunday: 11:00 AM – 12:30 AM,4.6,287,"establishment, food, meal_takeaway, point_of_interest, restaurant",ChIJsc5uUQCPcUgRwoELlgE64L4,Google Places,2026-04-08,Pending,,,,340
Alwaha,Food & Produce,food_produce,"4 High St, Easton, Bristol BS5 6DL, UK",51.4664663,-2.5647627,0117 935 5339,,https://maps.google.com/?cid=16709540964179846045,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEGI97WnKXKhZa3G1ZsaGFBQquwZT470lt9OvvXjEVsvgiG6rf1mGm89UGK86RsmEn5PEb3sTKt2wUsG1E_rXxYtDyi6zWDwhHnyc5VXCYfHPWPBmuYaSOqcXSMc9lNAoCQ1o4fsjZ51XR4-weZ6znZJI569qSi5M4xjlrGaA46tuQ98RX1geQevXpe0SJS35VmMcifV7O0QIkrN_NH3wX7YoaeTvs3P9BcyE_Ip4hCnhXI2juR5gCPEySfgxEHzO-ArWyByg3RZDjgNW6GK6YpOu0-VWG2fZtbqU3-O2eu-gA&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: 12:00 PM – 12:00 AM | Tuesday: 12:00 PM – 12:00 AM | Wednesday: 12:00 PM – 12:00 AM | Thursday: 12:00 PM – 12:00 AM | Friday: 12:00 PM – 12:00 AM | Saturday: 12:00 PM – 12:00 AM | Sunday: 12:00 PM – 12:00 AM,4,410,"establishment, food, meal_takeaway, point_of_interest, restaurant",ChIJIWiMmDiOcUgRnSPH2fk25Oc,Google Places,2026-04-08,Pending,,,,378
Aladdins,Food & Produce,food_produce,"6-8 High St, Easton, Bristol BS5 6DL, UK",51.4664686,-2.5646905,0117 239 1742,http://aladdinsbristol.co.uk/,https://maps.google.com/?cid=9874018246833351792,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEH5MBFTx8EVyijqiw9tWYOA2grI9SAGhbirTUQ2cR-6ddo0c6moQfNttbwXa610-aFimHPHbjiL7r4c4_87c1VyHIu4-WtmWBsLkUkfuY2GAs1KQbkOPDVaNOPG06KM5AH2c2G5KK9zsHUrcV_QhyMpIPjZohP2hQz9D_tieJlmdM2qkhtozdMX2clfK9fy5I_aHOoxzb5QkXsLUd7vrErrtnvWwjSzbSKA7t5CmGh6-Ozrt5U2L2ouugbG0Akur_52T7efqsvskuH_IwDxzX9CxEFtWSMaMR-7qM1t640mHA&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: 11:00 AM – 12:00 AM | Tuesday: 11:00 AM – 12:00 AM | Wednesday: 11:00 AM – 12:00 AM | Thursday: 11:00 AM – 12:00 AM | Friday: 11:00 AM – 12:00 AM | Saturday: 11:00 AM – 12:00 AM | Sunday: 11:00 AM – 12:00 AM,4.5,192,"establishment, food, meal_takeaway, point_of_interest, restaurant",ChIJe-AtfcKPcUgRcCw63EePB4k,Google Places,2026-04-08,Pending,,,,381
No12 Easton · Cafe,Food & Produce,food_produce,"12 High St, Easton, Bristol BS5 6DL, UK",51.4664486,-2.5644437,,https://no12easton.com/home,https://maps.google.com/?cid=4015018205987884687,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEESXeUE-hMXVuEe1V1ff0dzN_aa6IEHdRrSvOeHXTKQqV4WQ9uHtDyuvaszQCCbe4PRFEwcAka5VD4W81evlhyVVEGBJNpwVb1FQYlfjvQYipJo_3zds2rmx9WII7Ad6uuE9LhTJIIHzp9ADyiWQEGTC_Xyq8GhLrIqPY3I7w825PVg4h-bqI5-PpFuT2fzd_W8GwDj-NDpVZMrhuWE9ApljBitJrExAa9adEb1m1xpxMf8uU7xINFVf88fVwip2wV3rOoT36-vFbkUeMpfluprs3XL2AJtZ2m6hbC2XO0M6g&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: 8:00 AM – 3:00 PM | Tuesday: 8:00 AM – 3:00 PM | Wednesday: 8:00 AM – 3:00 PM | Thursday: 8:00 AM – 3:00 PM | Friday: 8:00 AM – 3:00 PM | Saturday: 8:00 AM – 3:00 PM | Sunday: 9:00 AM – 3:00 PM,4.6,431,"cafe, establishment, food, point_of_interest, restaurant, store",ChIJDUCJmDiOcUgRj06iLsk1uDc,Google Places,2026-04-08,Pending,,,,387
Olive Grove Cafe and Meeting Place,Food & Produce,food_produce,"St Gabriel's Business Park, St.Gabriel's Business Park, 11 St. Gabriels Rd, Easton, Bristol BS5 0RT, UK",51.4620651,-2.5689551,,,https://maps.google.com/?cid=14021658160865685612,,,Monday: 9:30 AM – 3:00 PM | Tuesday: 9:30 AM – 3:00 PM | Wednesday: 9:30 AM – 3:00 PM | Thursday: 9:30 AM – 3:00 PM | Friday: 9:30 AM – 3:00 PM | Saturday: 9:30 AM – 3:00 PM | Sunday: Closed,5,3,"cafe, establishment, food, point_of_interest",ChIJ7XW4oUGOcUgRbDBbsM7vlsI,Google Places,2026-04-08,Pending,,,,192
Seymour Cafe,Food & Produce,food_produce,"4 Seymour Rd, Easton, Bristol BS5 0UN, UK",51.4639074,-2.5705862,,,https://maps.google.com/?cid=13895206165680626230,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEFLMrx12VORUDT75c6eZGJWymNKbaebVIRu_GCy_TuQ2h-pPi48e_c3okDWZEP9qDQaebh-Qz4tQCtsDUo5Y5D2SfcIoe9AJaNDwrFJxPfTr60du0WNgJcvxxYD2kIDz6B6bQMmuqsrBCTp_-YFJMyCMKuNj4eDzq5w6SC4CY5EEVbhrWeM96Od-K5YQQJvXYDM3aGfSN_zKvGMr-SdxmI4j5zqelpvizT0C2H_G7JsWAntn2QZ4Jmyvq7Q9px1Tumov_pD_AHh9PIYon3bdCoP6CW65VM0oE6KQOWfn2SrZi-lYRn7t5jkGavig7XmM_FiJQz4jNOb-tWF_IFIYxyZFKnNJEbJ067WDVdC7C_9XSLUc6UTlKUaE6h69SidapMR4mx0S7H3Su1nyL6lJVcP-A9JOuT-hWot1RdJ1FOsVA&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: 10:00 AM – 4:30 PM | Tuesday: 10:00 AM – 4:00 PM | Wednesday: 10:00 AM – 4:00 PM | Thursday: 10:00 AM – 4:30 PM | Friday: 10:00 AM – 5:30 PM | Saturday: 10:00 AM – 6:00 PM | Sunday: 10:00 AM – 5:00 PM,4.6,28,"cafe, establishment, food, point_of_interest",ChIJ0QAqOECOcUgRNho2QmOw1cA,Google Places,2026-04-08,Pending,,,,232
Radical Roasters Coffee Roasters,Food & Produce,food_produce,"60-62 St Marks Rd, Easton, Bristol BS5 0LR, UK",51.4665747,-2.5659024,,http://www.radicalroasters.co.uk/,https://maps.google.com/?cid=11264666230639300144,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEFJZ60klj5fSXpCQ88LbLCcJS5iCS7NETMvH060Rk8WUWB8N5yyxS1DUOHG33ihl2uZKZzqKsrs3aLejYABd53CbaOA6wgqhq7cilC-uBnt6-qBP2aGPpndEr5PNghw4oZaxhbq63TnhLYWe_s08DtpUy9MhBZEWBAbgneKvPwtVoyBEbmJPem6BFxqnnNMMyEAYBh_TYAth1vB0Mp3DLd3yC6-GjhQqwh6uZ5mQpZMXKEVOAkAA-bl353l3nBcoht-Fm47BmcQuCfyrU00fMpc_v87knN__L7lKefMrMYa_A&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: Closed | Tuesday: Closed | Wednesday: Closed | Thursday: 8:00 AM – 4:00 PM | Friday: 8:00 AM – 4:00 PM | Saturday: 8:30 AM – 4:00 PM | Sunday: 9:00 AM – 4:00 PM,4.9,177,"cafe, establishment, food, point_of_interest, store",ChIJqS1x7iaPcUgRMA6YBkEiVJw,Google Places,2026-04-08,Pending,,,,360
DOTOUF COFFE LTD,Food & Produce,food_produce,"St Jude's, Bristol BS5 0PR, UK",51.4615339,-2.5731527,,,https://maps.google.com/?cid=8114246648085870886,,,,,,"cafe, establishment, food, point_of_interest",ChIJe8Z2FmqOcUgRJvkP11WYm3A,Google Places,2026-04-08,Pending,,,,458
SUDANESE CAFE,Food & Produce,food_produce,"St Jude's, Bristol BS5 0PR, UK",51.4615027,-2.573191500000001,,,https://maps.google.com/?cid=8768206253604157438,,,,3,2,"cafe, establishment, food, point_of_interest",ChIJa_ESFmqOcUgR_jdvtyHtrnk,Google Places,2026-04-08,Pending,,,,462
