Name,Category,Category Key,Address,Latitude,Longitude,Phone,Website,Google Maps URL,Photo URL (raw),Google Summary,Opening Hours,Google Rating,Google Review Count,Google Types (raw),Google Place ID,Source,Scrape Date,last_synced_at,Status,Chain Flag,Editor Notes,Story Draft,Distance (m)
Khan Foodstore,Food & Produce,food_produce,"287 Stapleton Rd, Easton, Bristol BS5 0NG, UK",51.46624689999999,-2.5687127,0117 951 1371,,https://maps.google.com/?cid=10886342905801112437,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEEAy7BfwovD6NRuutmZeS8iGscUNN6YkOQ2Ds65-koXslcGaBls5G0kipFZ8-vHgSPoovbU3Y_KpEbEhEpeO-TXrM5mKrqQ-wW9hR_tUfHRRyaPityqJ2NnlXHVItkPmAiWbZ4PcHQZBeSRDbFX_ufM4lviO1uCKoQ8vTHltBJCK3yS86fnvGewk44H8IufolHPOGWiXLrkyArmetisbfe4z6OjK38CO49mNDO37IWWJ2H4KQOMcBa2KFQX_yKH-XNtbd2vNqZajNSPWpIGZYlqpIk01fHEsaI3dCftI2BqhiFlqDBCPRTcSU52vjqoCUIqgYJhmWfZx0ATCtXjE09P5QMdxv_egx5VutkPAkrxmzqViGv3O1tZWzRW5T37iX5yThNhVSwpNBFHWe2v1ZvTJuLrmY_fzQIC77blOrfZKmrh&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: Open 24 hours | Tuesday: Open 24 hours | Wednesday: Open 24 hours | Thursday: Open 24 hours | Friday: Open 24 hours | Saturday: Open 24 hours | Sunday: Open 24 hours,4.4,13,"convenience_store, establishment, food, grocery_or_supermarket, point_of_interest, store, supermarket",ChIJV-L4ez-OcUgRdXteyzEPFJc,Google Places,2026-04-09,2026-04-09 15:08:17 UTC,Pending,,,,324
Biedronka,Food & Produce,food_produce,"276 Stapleton Rd, Easton, Bristol BS5 0NW, UK",51.4666327,-2.5687568,,,https://maps.google.com/?cid=72498647314623712,,,Monday: 9:00 AM – 11:00 PM | Tuesday: 9:00 AM – 11:00 PM | Wednesday: 9:00 AM – 11:00 PM | Thursday: 9:00 AM – 11:00 PM | Friday: 9:00 AM – 11:00 PM | Saturday: 9:00 AM – 11:00 PM | Sunday: 9:00 AM – 11:00 PM,4.7,32,"establishment, food, grocery_or_supermarket, point_of_interest, store, supermarket",ChIJA2xMdz-OcUgR4GzityKRAQE,Google Places,2026-04-09,2026-04-09 15:08:17 UTC,Pending,,,,366
Star Cash & Carry,Food & Produce,food_produce,"6 Roman Rd, Easton, Bristol BS5 6DH, UK",51.466218,-2.5644146,0117 935 4270,,https://maps.google.com/?cid=8063421348055098194,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEFpy0opdNDJjyJlI5wzMkfCMTeseVzJGc1Oglaj2duRLw3eIq7FRcXEXq_0unrQbamyEK8eSJfYqq6bolQYb7pAzKDPtfnpQgHlD6_uo-pwpjfEGZSavG3XzATnYeLz9kQmomS6Vpy358beaLwnhSu_HqjxCpnIG8GoqeuqzpMD5MbhlT9HSsn5gelnnJauYYSaX-tuIS1UcffF6TsybCerfZiLB69NR6yQZczzJP6xuDoZkMeP1oeX8mXjLIpVi4HEQgr9PGSKEFyXhM4OW_-XHNWaoQE_hT5hnL2r84OpPA&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: 8:15 AM – 7:00 PM | Tuesday: 8:15 AM – 7:00 PM | Wednesday: 8:15 AM – 7:00 PM | Thursday: 8:15 AM – 7:00 PM | Friday: 8:15 AM – 7:00 PM | Saturday: 8:15 AM – 7:00 PM | Sunday: 8:45 AM – 6:30 PM,4.6,64,"establishment, food, grocery_or_supermarket, point_of_interest, store, supermarket",ChIJacIQnziOcUgRUiMghf4G528,Google Places,2026-04-09,2026-04-09 15:08:18 UTC,Pending,,,,367
Unique Mobile,Food & Produce,food_produce,"132 Stapleton Rd, St Jude's, Bristol BS5 0PU, UK",51.46209529999999,-2.5724182,07878 375833,https://www.facebook.com/ahmed.qurashi.31392,https://maps.google.com/?cid=10166283298334005765,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEF7DJKKu5iq0sT4iCUK6GQMYTHNeKMwQMZvBdqaCCo9v4iWDc34KxSWOWbYN2_GUCVqnRIO7YJM0DSslQyikyq4cwX67qZUuzkzzQWutzc3Adq_9U5TmqR0sXTsojmxcQ7DuesvGtXcCT-cr-7l_dx5GB6e-G6SGfrJVvMAOy1g1KJF1V5We3qJG8-ilOLPm2-s4Gtsxst9Xel3sEDbjwyBbIt4MxVvhUEFw2ORzR3550DXzoeDNQAbAPnyPijG625eSp6Bxi5uEfxCPwA1dYx9YJED_Lt7jwReqHSvQnegxQ&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,,5,1,"establishment, food, grocery_or_supermarket, point_of_interest, store, supermarket",ChIJ2zswoQOPcUgRBVov68vkFY0,Google Places,2026-04-09,2026-04-09 15:08:18 UTC,Pending,,,,385
Nawroz Supermarket,Food & Produce,food_produce,"118 Stapleton Rd, St Jude's, Bristol BS5 0PS, UK",51.4616918,-2.5729402,0117 462 4131,,https://maps.google.com/?cid=3120200686827292957,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEFgDSiirE2uATfZGLclamu1wt-25I2WW5kYr5ov6opNQzvm88w1qdHrbFj7jyrBylsNcDyP7jOULCKBeWgegQK_-8ezUVvrZqgSJ1CHVVZAUBoldF6F5IG2qHjcynYGGx0bQQDX98CZyLEMq9yUFKz6LEE2lWgUEe-XiAvIavM8KViBlOd1n5yjp9MHf-K0SdzGDWcRQ44PuRxNSwiPePn3MIFJ2JC6bTTxZWkVNocmuYRX_yBGxjuyD3k5s2KBBR5TJXsw0_CAGh5u0z2jF2qXQsBGYeqhCp_M2b0NNLa2soTZbCosaBRgbVud8Ed1bjME0JXwIqy7HWAqLvgng0GbH1ze_ckLdpx6kO7sRCdlX8uoBhnqeOrj1S-G6AUvhIrOKPMXFKJUl88e2eD3yNFPYSbw98pVrsqZDB_uK7K-ZhJN2tzIPSmcObbCfg&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: 9:00 AM – 11:00 PM | Tuesday: 9:00 AM – 11:00 PM | Wednesday: 9:00 AM – 11:00 PM | Thursday: 9:00 AM – 11:00 PM | Friday: 9:00 AM – 11:00 PM | Saturday: 9:00 AM – 11:00 PM | Sunday: 9:00 AM – 11:00 PM,4.3,8,"establishment, food, grocery_or_supermarket, point_of_interest, store, supermarket",ChIJFbb8a5uPcUgRHUlFPv4tTSs,Google Places,2026-04-09,2026-04-09 15:08:18 UTC,Pending,,,,436
Piri Piri Corner,Food & Produce,food_produce,"250a Stapleton Rd, Easton, Bristol BS5 0NP, UK",51.4659234,-2.5692849,0117 951 1711,https://piripiri-corner.co.uk/delivery,https://maps.google.com/?cid=14340776787183252767,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEGm8zrlVDF6hj-5czIH1aQFRV-cX6NhbCAGVowHiQVvlvchX5nkkeUXEsEFW47tOtQIUfJWSCTLb2W8v1O99itWuDX9RlEnK1GkZUeNa3buZL5q-dgDsBKTP6MJvIC8XzvwPFLPB-CoMPmX9xzDjkPiR2Oo_TtYXNd_nRhy9T3UOBuFrh7GjDJa93a8C_zpo4xMDSlATmPOAdEFF4wtyal3DzR4hHG-Ox25fiowL22W2B3KpwHRn91KIEPwWNL9qVoFSyfV8e6dc3-cxEeU0jkv-AWjsCw7oSMttq-_JrCsDVvBmV7RqoxoFhpUJ8Io65DdL2BLqItOya9_CLQAQ4DRzTz22dRh-WvKm5x5QdRD-Ku3riNNiJdpqj5jaOmCwlMpNyDOjrIiG5d5iM1LhrIqh815X_K9ohD-T9JrzWNgtSgy&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: 11:00 AM – 12:00 AM | Tuesday: 11:00 AM – 12:00 AM | Wednesday: 11:00 AM – 12:00 AM | Thursday: 11:00 AM – 12:00 AM | Friday: 11:00 AM – 2:00 AM | Saturday: 11:00 AM – 2:00 AM | Sunday: 11:00 AM – 1:00 AM,,,"establishment, food, meal_takeaway, point_of_interest, restaurant",ChIJ2VKlgT-OcUgRH7U524GsBMc,Google Places,2026-04-09,2026-04-09 15:08:19 UTC,Pending,,,,306
Geppetto’s Pizza,Food & Produce,food_produce,"2B High St, Easton, Bristol BS5 6DL, UK",51.4664789,-2.5648677,0117 902 8153,,https://maps.google.com/?cid=4822321988060032063,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEE0xGykwX2EOlUZdMRKILe1pcDZ4kBARWmhHSya7HDEV95k4XwYV1hNmkrsUoNY2tHi7ofZxXbQvKja9S6gTVQ1YnOeW3Dp0imT4BktfSbOtSfR32Y_WOzrLaV7VjVHBOeizEl8ZXaa52yxiAdt3HW8FKxvfo7HpQFKTBMmLYBw01V15krfO3e0oMQnI5yFOUhJpQTGvdKtz3j26lKdq0dTUuwbLJ7udYMOMc_iITTu_5WCk4OgVR2Oqelps4nLGWeBuIBw5AwEHNQYlSrw8b9_nxRwyn9xOZXERoSSree2-w&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: Closed | Tuesday: 4:00 – 9:00 PM | Wednesday: 4:00 – 9:00 PM | Thursday: 4:00 – 10:00 PM | Friday: 4:00 – 10:00 PM | Saturday: 4:00 – 10:00 PM | Sunday: 4:00 – 9:00 PM,4.8,443,"bar, establishment, food, meal_takeaway, point_of_interest, restaurant",ChIJjyB_pDiOcUgRP6zfYkxU7EI,Google Places,2026-04-09,2026-04-09 15:08:19 UTC,Pending,,,,376
Lucky Chef,Food & Produce,food_produce,"197 Easton Rd, Easton, Bristol BS5 0HQ, UK",51.4618413,-2.5651865,0117 955 4778,https://luckychef.co.uk/Q1Wu,https://maps.google.com/?cid=6894217636631329633,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEGSsyANrzuOhgIl3GTeWzpmBbaB7f0rqs20RgAT8mnWALH0y6MiwUL6OvADnp1aWLKB6TomLvMufVoCm9be_wheiJjJ-92DUC3e0g2WMl7AL8_ENgE4ZKD4j8NKDfUE1JCG-SxbUGck6tdBbGa7V_87MHSpX2X8aOsmnX1-0lPulw6qpPQ4C2zXA-RhrwtA6MY1-np_ZHQ8jY-pvHO1QB22z2xs6nagWubKeRWoILMV2TG2NjI22U6i6n4oa-a0Oqg482WOx-s8Y4tpvrITSSeQ4PkYK03HfR6rMDQCk5bEeANh3KK_kgTizEJDsqmmBV0hhq3ox9Z4MLArhE-RYksUHG3Mt34fSapkGxTmv-6FPULZPatD59xkZjsy0c1JWzA7ziyM4bJGVvcaBL3SopYc5WnqtjHF3C5zwtzmLWKS_Q&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,"Classic Chinese and Thai dishes cooked in tucked-away, late-night takeaway with delivery option.",Monday: 5:00 – 11:30 PM | Tuesday: 5:00 – 11:30 PM | Wednesday: Closed | Thursday: 5:00 – 11:30 PM | Friday: 5:00 – 11:30 PM | Saturday: 5:00 – 11:30 PM | Sunday: 5:00 – 11:30 PM,3.5,193,"establishment, food, meal_takeaway, point_of_interest, restaurant",ChIJBaYgtEaOcUgRYbuk02kurV8,Google Places,2026-04-09,2026-04-09 15:08:20 UTC,Pending,,,,233
Easton Takeaway,Food & Produce,food_produce,"87 Chelsea Rd, Easton, Bristol BS5 6AS, UK",51.4642339,-2.5635805,0117 955 8998,https://www.eastontakeaway.co.uk/,https://maps.google.com/?cid=8629716254229384214,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEFasbYsfBZPZQYk6u7yKa0z70fLmvgXxoIgULH9Lae6JQTPVNyIhz6R8V3vUfpu93UpWnVLroDDUlwo5gUcBQ9Q8728Rr3X8s-BGTtl-kqxAo9ycekyMmjdlstFP_kPabhXYLOqQrp0hS-KFGyNWt5CV5xf4VUxoKqw5cec6RBVd7UDIZEwwjkfiYXJcMMDSg9bHcy9pFWBY1oRVbYRV9_kwhoalkzS9EYDjS9LT1CI4bG2n6tarLmX0PYIknWlpGXlXA-pr4a_hvXpeFeM5Zl2QcC8XjXla6XXQJTGfAiXVjg1yyvVjsc0lXiskCWFWfwc6V1D1833CFe3ztHMqL-DYS4Do9fp7VrQW5U9s3meQDNKlu_Y9LdyuBNym5p7LEyIyii0YFW-n4oEia_CkMnPJnMEq6J8d3T0FuPbUC8cmQ&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: 12:00 – 11:00 PM | Tuesday: 12:00 – 11:00 PM | Wednesday: 12:00 – 11:00 PM | Thursday: 12:00 – 11:00 PM | Friday: 12:00 – 11:00 PM | Saturday: 12:00 – 11:00 PM | Sunday: 12:00 – 11:00 PM,4.1,190,"establishment, food, meal_delivery, meal_takeaway, point_of_interest, restaurant",ChIJ-SO_D0eOcUgRFszBBTbpwnc,Google Places,2026-04-09,2026-04-09 15:08:20 UTC,Pending,,,,273
GARAM MASALA,Food & Produce,food_produce,"190 Stapleton Rd, Easton, Bristol BS5 0NZ, UK",51.4638497,-2.570616,0117 951 8276,https://www.garammasalaonline.co.uk/menu.php,https://maps.google.com/?cid=18295462356197314916,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEHqaMc7cLUF5y09hIKy20EF90vy4uEX2h2KyIvjq-C7LDolhlZ61WVahVc2nSGQ3nkT-XxczTryMFUVL_chs6AdlludP0C6On1oe7JCQK9mSjCY3KHQtCyAom3sZyetnPds8iLGOhD51e1Gd-aLVKrrTYVxW7GWALllPSiiomUP6yTY3Xk1VklJ1h8XSNdKyojyR37O-fqqiFGkx2qTPflCGHjjEfCeaIHuiNv5yv8j5im5_N_72CFulCK83KCZPKKY-7XkrPokDS2UI_Aog3CxyOrFbwItraNQXLLqwh4lE_2jKENubTPQP2KbvaZIQs3wNZ_LMKHjg1VBt9suhx58sb5WAVRy70KVfqsGcaPNz6QNPlBA9JBprpBKDOgFsXFwEbMAFBU1Wx7SLGoXUE3f-tPtzIdEKkCE0IL4NRkVaqRCOuqNjnvkZeDwg5Fs&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: 1:00 – 10:00 PM | Tuesday: 1:00 – 10:00 PM | Wednesday: 1:00 – 10:00 PM | Thursday: 1:00 – 10:00 PM | Friday: 1:00 – 10:30 PM | Saturday: 1:00 – 10:30 PM | Sunday: 1:00 – 10:30 PM,4.7,23,"establishment, food, meal_takeaway, point_of_interest, restaurant",ChIJHwJnHN6PcUgRZBGsVhSK5v0,Google Places,2026-04-09,2026-04-09 15:08:21 UTC,Pending,,,,232
CHILLZ TAKE-OUT,Food & Produce,food_produce,"117A Chelsea Rd, Easton, Bristol BS5 6AS, UK",51.4649331,-2.5638988,07448 497020,,https://maps.google.com/?cid=6504187202032292664,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEGaPPLJOX1FzK1v51igDKd3R_f1Q3fTS8GDJCMT_NSZqHd5HtTAAmIFx77oG_UwMiuRLB-qgXOO9hZjFZzhF5DXUvM9c11QW7tSIfy-rqmhDuN6v-s4FlLhRvCwGO8H0qj4_xbNllwvzYtCJRQ5FtZbb6QD9P-2-KisiT4loeXsimLjMIopaz-dcsezCbUQ1QYwyjIaWkwO76mJpISaUyN0oDhG0TbQ7svXYyJULfk-w_JYrf7neLCYMaGBI4-SRv-ufEUDHw4LuuK4etSSit4U56JWK1XVQ0-X4Jkb_AnUXYP4qycZ6vIDYOmng2L1gJ8-Y-u1J3ZCUF8TOkh2RXjecoJMdIzsblaNuKamaVGQPUN-UzyvAblEXmsZPGFxHZu56GzP8owhih3-tyO7aOhuAY1Y0T7hLn_NqwGDEBJYgVc&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: Closed | Tuesday: 11:00 AM – 8:00 PM | Wednesday: 11:00 AM – 7:00 PM | Thursday: 11:00 AM – 7:00 PM | Friday: 11:00 AM – 11:00 PM | Saturday: 11:00 AM – 10:30 PM | Sunday: Closed,4.6,13,"establishment, food, meal_takeaway, point_of_interest, restaurant",ChIJRz9-hJ2PcUgRONPGscyDQ1o,Google Places,2026-04-09,2026-04-09 15:08:21 UTC,Pending,,,,288
Khyber Restaurant,Food & Produce,food_produce,"266 Stapleton Rd, Easton, Bristol BS5 0NP, UK",51.4663408,-2.5689913,0117 462 5597,,https://maps.google.com/?cid=13754057040476209602,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEHF7A4qENUzJ6idk79K4NatN6ZGw5uHqTJ-D_p5qr-nmYrNox5KlB-mvK-cLqdi9__LKHS93jDT44q8fqeM2gnsIe2A9aZoKhvtsgLaMjE-p-OyCui5GywwzQHnEh2yhb5AYq_jMVh1W0NjWBh3-iZc7J5su4fzkqfRYoTbvwS7LgqE1VtFlgR0QPlMgt_f8GkYIOilhjnP4FRswc9nTutzCJ3cBfy9-EUz-m1Kp6iensC2aWytUH7V6HL9Swk1u1enoj2Q0XW3Og05VGwbjp0lO-MmxToBCL5lgHv08jjpIQ&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: 11:00 AM – 12:30 AM | Tuesday: 11:00 AM – 12:30 AM | Wednesday: 11:00 AM – 12:30 AM | Thursday: 11:00 AM – 12:30 AM | Friday: 11:00 AM – 12:30 AM | Saturday: 11:00 AM – 12:30 AM | Sunday: 11:00 AM – 12:30 AM,4.6,287,"establishment, food, meal_takeaway, point_of_interest, restaurant",ChIJsc5uUQCPcUgRwoELlgE64L4,Google Places,2026-04-09,2026-04-09 15:08:22 UTC,Pending,,,,340
Alwaha,Food & Produce,food_produce,"4 High St, Easton, Bristol BS5 6DL, UK",51.4664663,-2.5647627,0117 935 5339,,https://maps.google.com/?cid=16709540964179846045,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEHMnATm2lQtamo2SqRAi6R58M-Xl7zVj6rNOKPp6pfi18Bgyh5icp4magz-CDS1BEcrG8Yip0mWVI3_Ab5IC_nzH0vxcXyfrLSRpLszKcTmKoPKBMXbFFD4pbuZzVnp-Yw30acsCQ2OHWbX8Tg_hoJPM2ne32wlwnRULLOUSfwYzl40bRnsRlDno0Ur034IMs9r_xVhekC-8AnhQZdUmvUqjeGtaTShXYp_-LGQs9EB2VnhRNka5rDnpL6p-mit-GSyy-9ZnzfZ1yUDggdpULvQXcn9-XCJ3rEp5IN-m56-CQ&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: 12:00 PM – 12:00 AM | Tuesday: 12:00 PM – 12:00 AM | Wednesday: 12:00 PM – 12:00 AM | Thursday: 12:00 PM – 12:00 AM | Friday: 12:00 PM – 12:00 AM | Saturday: 12:00 PM – 12:00 AM | Sunday: 12:00 PM – 12:00 AM,4,410,"establishment, food, meal_takeaway, point_of_interest, restaurant",ChIJIWiMmDiOcUgRnSPH2fk25Oc,Google Places,2026-04-09,2026-04-09 15:08:22 UTC,Pending,,,,378
Aladdins,Food & Produce,food_produce,"6-8 High St, Easton, Bristol BS5 6DL, UK",51.4664686,-2.5646905,0117 239 1742,http://aladdinsbristol.co.uk/,https://maps.google.com/?cid=9874018246833351792,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEGgwgUv0m2YPgZGm8uoVdEj6Q7U07ZqDNay_siEoOw6217eL2RN1-ReCQX36E4u_KcQ1L6A78uOYHxW8cS7dqWy5hgn5ZdgCT3vVqAzpLOwCn5knEsT6RSYIUcRFazQ_popDad4G4bRDnfnxe9WrM5wIE6o2ltjQ5fGofUOHeLbk98PXGOSddQiR3pBEldPC9r1ZMieN-if1hRwQ8PXaT7sCEuQbJ9zoiwPNp4wPzLw0LfrWTSuFB81VYY6U3OzPRERTEzpxd5Y4XDEwKlh3TQdnaxfsxHyApCih1sOx1rU4A&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: 11:00 AM – 12:00 AM | Tuesday: 11:00 AM – 12:00 AM | Wednesday: 11:00 AM – 12:00 AM | Thursday: 11:00 AM – 12:00 AM | Friday: 11:00 AM – 12:00 AM | Saturday: 11:00 AM – 12:00 AM | Sunday: 11:00 AM – 12:00 AM,4.5,195,"establishment, food, meal_takeaway, point_of_interest, restaurant",ChIJe-AtfcKPcUgRcCw63EePB4k,Google Places,2026-04-09,2026-04-09 15:08:22 UTC,Pending,,,,381
No12 Easton · Cafe,Food & Produce,food_produce,"12 High St, Easton, Bristol BS5 6DL, UK",51.4664486,-2.5644437,,https://no12easton.com/home,https://maps.google.com/?cid=4015018205987884687,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEGJXOrkkpArThbB6XoetWoYjqScHGV7ReJfTO97tUds3ZrbX3RKlFUvNQlgsYYW6nZXDHNRg78diOEHXTUnCG7Pf0TZhiq3zn9hrJvdPbv6b3M53ojmYlAFuBENqLIxyDbm7wASLGGoC1qzSgFKOrscNonWQlBVWU3TKb1YBUu62LEk24_j5OpiLCBjbLlG2MlkN0kiHZrfO0zhgtQe5SycXjMj4LYvjNFRN20Jty3UYQsSlVGspLg8NXvMlRCLePK991Tp0jzRPABV3X7NgHklWhPHAKgzgPgsXKlBWD1ekg&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: 8:00 AM – 3:00 PM | Tuesday: 8:00 AM – 3:00 PM | Wednesday: 8:00 AM – 3:00 PM | Thursday: 8:00 AM – 3:00 PM | Friday: 8:00 AM – 3:00 PM | Saturday: 8:00 AM – 3:00 PM | Sunday: 9:00 AM – 3:00 PM,4.6,431,"cafe, establishment, food, point_of_interest, restaurant, store",ChIJDUCJmDiOcUgRj06iLsk1uDc,Google Places,2026-04-09,2026-04-09 15:08:22 UTC,Pending,,,,387
Olive Grove Cafe and Meeting Place,Food & Produce,food_produce,"St Gabriel's Business Park, St.Gabriel's Business Park, 11 St. Gabriels Rd, Easton, Bristol BS5 0RT, UK",51.4620651,-2.5689551,,,https://maps.google.com/?cid=14021658160865685612,,,Monday: 9:30 AM – 3:00 PM | Tuesday: 9:30 AM – 3:00 PM | Wednesday: 9:30 AM – 3:00 PM | Thursday: 9:30 AM – 3:00 PM | Friday: 9:30 AM – 3:00 PM | Saturday: 9:30 AM – 3:00 PM | Sunday: Closed,5,3,"cafe, establishment, food, point_of_interest",ChIJ7XW4oUGOcUgRbDBbsM7vlsI,Google Places,2026-04-09,2026-04-09 15:08:23 UTC,Pending,,,,192
Seymour Cafe,Food & Produce,food_produce,"4 Seymour Rd, Easton, Bristol BS5 0UN, UK",51.4639074,-2.5705862,,,https://maps.google.com/?cid=13895206165680626230,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEGLGs2MD1rxxwKkfKIKxhyBLy3hs8ftM4OD6kVhEp038oRvXON1rsWerzZ7fckyYPlrKkLMZxDonaspLQDvmeZWQV1TuCuPEm6rLAwG6wUhyB5HCcDxTdaZwyo__x0Mg3tYnxHpoXRufONxeO5G_4pSLUlcQllqydulxb_3bcuc87mY4P8an63WzSvcasT5X1oozZHrccaATvrhHH7x52J7dX5YJLyu95CHyRTlrLyPAat_4pZZXVL990Fqjw8zNlrK_IpPvXciUcmzsJiTdg5hXygMTiAkF5frl0vK3zXLxg_l-CJ5UGG5zZlDjsyDeO-Hono9pW1VLll9rfps-6xktqVsDpAiSYC5zkpR_-25foA0uS8TIo0orZrXhLa9EPM4R1NUhHjmPNY_fDbU5ilz-5HqblZ_DDspD2boTLatpw&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: 10:00 AM – 4:30 PM | Tuesday: 10:00 AM – 4:00 PM | Wednesday: 10:00 AM – 4:00 PM | Thursday: 10:00 AM – 4:30 PM | Friday: 10:00 AM – 5:30 PM | Saturday: 10:00 AM – 6:00 PM | Sunday: 10:00 AM – 5:00 PM,4.6,28,"cafe, establishment, food, point_of_interest",ChIJ0QAqOECOcUgRNho2QmOw1cA,Google Places,2026-04-09,2026-04-09 15:08:23 UTC,Pending,,,,232
Radical Roasters Coffee Roasters,Food & Produce,food_produce,"60-62 St Marks Rd, Easton, Bristol BS5 0LR, UK",51.4665747,-2.5659024,,http://www.radicalroasters.co.uk/,https://maps.google.com/?cid=11264666230639300144,https://maps.googleapis.com/maps/api/place/photo?maxwidth=800&photo_reference=AU_ZVEGU0sqHK_SlZuYFO-ZquGh8XTgfl2ZE50kmlByGwUcDAEg8X4qjGWEAooOMcZslnHOGXnovzkwYtQ-y3WJ8ZV0jjEtNb8hWKh_la63on59oeUhgKIVN-7THPYfvkj742C-xunADjDoM_QIOXXmbB-3DmRfcCRc32sUc6lDycBBUvjuGalqIhRi-eBwoWN9k6xcz_4S6xohN2KIXD_8EiL4fpNBhlObZLdIQKRmWPR8y_yfaw2B_kT88qRDqkIeCeA8T3BhHokKkYahD3s-JmnG049FU5-Y5TKeO1aw8xDy1Aw&key=AIzaSyCz5y9eZ6DAHHP8w5pqz15ffDUrNQgQX04,,Monday: Closed | Tuesday: Closed | Wednesday: Closed | Thursday: 8:00 AM – 4:00 PM | Friday: 8:00 AM – 4:00 PM | Saturday: 8:30 AM – 4:00 PM | Sunday: 9:00 AM – 4:00 PM,4.9,177,"cafe, establishment, food, point_of_interest, store",ChIJqS1x7iaPcUgRMA6YBkEiVJw,Google Places,2026-04-09,2026-04-09 15:08:23 UTC,Pending,,,,360
DOTOUF COFFE LTD,Food & Produce,food_produce,"St Jude's, Bristol BS5 0PR, UK",51.4615339,-2.5731527,,,https://maps.google.com/?cid=8114246648085870886,,,,,,"cafe, establishment, food, point_of_interest",ChIJe8Z2FmqOcUgRJvkP11WYm3A,Google Places,2026-04-09,2026-04-09 15:08:24 UTC,Pending,,,,458
SUDANESE CAFE,Food & Produce,food_produce,"St Jude's, Bristol BS5 0PR, UK",51.4615027,-2.573191500000001,,,https://maps.google.com/?cid=8768206253604157438,,,,3,2,"cafe, establishment, food, point_of_interest",ChIJa_ESFmqOcUgR_jdvtyHtrnk,Google Places,2026-04-09,2026-04-09 15:08:24 UTC,Pending,,,,462
