osm_id,name,address,latitude,longitude,category,category_key,category_slug,city_slug,area_slug,business_slug,status,chain_flag,ranking_tier,is_featured,phone,email,website,google_maps_url,opening_hours,social_facebook,social_instagram,social_twitter,social_tiktok,social_linkedin,social_youtube,google_place_id,google_summary,google_rating,google_review_count,wikidata_id,fsa_rating,fsa_hygiene_score,fsa_establishment_id,photo_url,image_url,logo_url,show_logo,add_listing_illustration,illustration_status,illustration_url,illustration_source_photo,illustration_generated_at,description,editor_notes,story_draft,founders_story,founders_image,tags,source,scrape_date,last_synced_at
node/11501273339,Belland's Drive Co-op,,51.4071167,-2.5770311,Food & Produce,food_produce,food-and-produce,,whitchurch,bellands-drive-co-op,pending,chain,low,,,,https://www.coop.co.uk/store-finder/BS14-0EW/30-32-belland-drive,,Mo-Su 06:00-22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""convenience""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/13108531079,Royalty,,51.4072761,-2.5770598,Food & Produce,food_produce,food-and-produce,,whitchurch,royalty,unverified,independent,standard,,,,,,,,,,,,,,,,,,5,5,241295,,,,,,,,,,,,,,,"{""restaurant""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/13108540446,Palermo pizzeria,,51.4073135,-2.57705,Food & Produce,food_produce,food-and-produce,,whitchurch,palermo-pizzeria,unverified,independent,standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""restaurant"",""pizza""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/11435897766,Five Acre Farm Shop,,51.442383,-2.6137724,Food & Produce,food_produce,food-and-produce,,ashton-gate,five-acre-farm-shop,unverified,independent,standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""deli""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/4749634967,Tobacco Factory Market,,51.4426584,-2.6134949,Food & Produce,food_produce,food-and-produce,,ashton-gate,tobacco-factory-market,unverified,independent,standard,,,,,,Su 10:00-14:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""marketplace""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/12923053147,Heron Foods,"102-106 East Street, Bristol, BS3 4EY",51.4416017,-2.5982583,Food & Produce,food_produce,food-and-produce,bristol,bedminster,heron-foods,pending,independent,standard,,,,https://heronfoods.com/store/bedminster/,,Mo-Sa 08:00-18:00; Su 10:00-16:00,,,,,,,,,,,,5,0,1557134,,,,,,,,,,,,,,,"{""supermarket""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/13357250775,Southville Deli,,51.4424466,-2.5959408,Food & Produce,food_produce,food-and-produce,,southville,southville-deli,unverified,independent,standard,,,,,,,,,,,,,,,,,,5,0,386121,,,,,,,,,,,,,,,"{""deli""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/13140992986,Spitfire,"1 Hannover Quay, Bristol, BS1 5JE",51.448089,-2.6018545,Food & Produce,food_produce,food-and-produce,bristol,harbourside,spitfire,pending,independent,standard,,,,,,,,,,,,,,,,,,5,0,679582,,,,,,,,,,,,,,,"{""restaurant"",""american""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/13041619238,Ragu,,51.4472857,-2.5981412,Food & Produce,food_produce,food-and-produce,,southville,ragu,pending,independent,standard,,+44 117 9110218,,https://www.ragurestaurant.com,,,,,,,,,,,,,,5,0,1809430,,,,,,,,,,,,,,,"{""restaurant"",""italian"",""mediterranean""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/12512022293,Newquay road convenience store,,51.4267588,-2.5791471,Food & Produce,food_produce,food-and-produce,,knowle,newquay-road-convenience-store,unverified,independent,standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""convenience""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/13357254812,Baker Bespoke,,51.4411652,-2.5930991,Food & Produce,food_produce,food-and-produce,,victoria-park,baker-bespoke,unverified,independent,standard,,,,,,,,,,,,,,,,,,5,0,1367498,,,,,,,,,,,,,,,"{""kitchen""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/13145150507,The Park Deli,,51.4375272,-2.5846446,Food & Produce,food_produce,food-and-produce,,windmill-hill,the-park-deli,unverified,independent,standard,,,,,,,,,,,,,,,,,,AwaitingInspection,,869038,,,,,,,,,,,,,,,"{""deli""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/2384478514,Redcliffe Premier,"Redcliff Hill, Bristol, BS1 6TB",51.4468762,-2.5911857,Food & Produce,food_produce,food-and-produce,bristol,redcliffe,redcliffe-premier,pending,independent,standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""convenience""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/12877052417,The Kiln,,51.4480092,-2.587359,Food & Produce,food_produce,food-and-produce,,redcliffe,the-kiln,unverified,independent,standard,,,,,,,,,,,,,,,,,,4,5,1560508,,,,,,,,,,,,,,,"{""restaurant""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/11159406779,Londis,"194-196 Wells Road, Bristol, BS4 2AX",51.4389254,-2.5723368,Food & Produce,food_produce,food-and-produce,bristol,knowle,londis,pending,independent,standard,,,,,,,,,,,,,,,,,,4,10,1866152,,,,,,,,,,,,,,,"{""convenience""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/6780649303,Chi foof,,51.4482776,-2.5733843,Food & Produce,food_produce,food-and-produce,,st-philips-marsh,chi-foof,unverified,independent,standard,,,,,,Mo-Fr 06:00-12:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""spices""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/7817679484,Blue Ginger,"36-38 Gilda Parade, Bristol, BS14 9HY",51.4130925,-2.5599556,Food & Produce,food_produce,food-and-produce,bristol,whitchurch,blue-ginger,pending,independent,standard,,,,,,,,,,,,,,,,,,5,5,1419915,,,,,,,,,,,,,,,"{""restaurant"",""bengal""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/7817700259,Paprika,"16-18 Gilda Parade, Bristol, BS14 9HY",51.4136978,-2.5600046,Food & Produce,food_produce,food-and-produce,bristol,whitchurch,paprika,closed,independent,standard,,,,,,,,,,,,,,,,,,5,0,312331,,,,,,,,,,,,,,,"{""restaurant"",""indian""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/7817700261,Spar,"12 Gilda Parade, Bristol, BS14 9HY",51.4138443,-2.560038,Food & Produce,food_produce,food-and-produce,bristol,whitchurch,spar,pending,independent,standard,,,,https://www.spar.co.uk/store-locator/awl26862-spar-gilda-parade,,,,,,,,,,,,,,5,0,946251,,,,,,,,,,,,,,,"{""convenience""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/4904868721,Cloisters,,51.441514,-2.56065,Food & Produce,food_produce,food-and-produce,,arnos-vale,cloisters,unverified,independent,standard,,,,,,,,,,,,,,,,,,5,0,541917,,,,,,,,,,,,,,,"{""restaurant""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/4927525625,KPR convenience store,"20 Kensington Park Road, Bristol, BS4 3HP",51.4360776,-2.5573783,Food & Produce,food_produce,food-and-produce,bristol,brislington,kpr-convenience-store,pending,independent,standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""convenience""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/9256649118,Beats Street food party (Bristol eats),,51.4430612,-2.5675415,Food & Produce,food_produce,food-and-produce,,arnos-vale,beats-street-food-party-bristol-eats,unverified,independent,standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""restaurant""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/3683487308,Bellevue Convenience Store,"26 Bellevue Park, Bristol, BS4 4JR",51.4359564,-2.5483582,Food & Produce,food_produce,food-and-produce,bristol,brislington,bellevue-convenience-store,pending,independent,standard,,,,https://www.premier-stores.co.uk/our-stores/bellevue-stores,,06:00-22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""convenience""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/13563276201,L'oro di Napoli - Pizzeria & Trattoria,"3 Birchwood Road, BS4 4QH",51.4484988,-2.5418437,Food & Produce,food_produce,food-and-produce,bristol,st-annes,loro-di-napoli-pizzeria-trattoria,pending,independent,standard,,+44 117 301 8938,,,,"Sa 12:00-14:30, 17:00-21:00; Su 12:00-21:00; Tu-Fr 17:00-22:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""restaurant"",""italian_pizza""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/1386051923,No. 4,"4 Rodney Place, Bristol, BS8 4HY",51.4555718,-2.6198581,Food & Produce,food_produce,food-and-produce,bristol,hotwells,no-4,pending,independent,standard,,+44 117 9735422,,http://www.numberfourrestaurant.co.uk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""restaurant""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/4585598405,Botanica,Victoria Square Hotel Clifton Road,51.4553023,-2.6152704,Food & Produce,food_produce,food-and-produce,,bristol-city-centre,botanica,pending,independent,standard,,,,,,,,,,,,,,,,,,4,10,1659369,,,,,,,,,,,,,,,"{""restaurant"",""italian""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/853556896,Caffe Clifton,,51.4587343,-2.6110204,Food & Produce,food_produce,food-and-produce,,bristol-city-centre,caffe-clifton,unverified,independent,standard,,,,,,,,,,,,,,,,,,AwaitingInspection,,1926551,,,,,,,,,,,,,,,"{""restaurant""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/4375465482,Racks,"Clifton Hotel Saint Pauls Road, Bristol, BS8 1LX",51.4587718,-2.6109288,Food & Produce,food_produce,food-and-produce,bristol,clifton,racks,pending,independent,standard,,+44 117 9741626,,http://www.racks-bristol.co.uk/,,,https://www.facebook.com/RacksBristol,,@RacksBristol,,,,,,,,,5,5,312141,,,,,,,,,,,,,,,"{""restaurant""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/4484476589,Mi Estilo,,51.4592066,-2.6109863,Food & Produce,food_produce,food-and-produce,,bristol-city-centre,mi-estilo,unverified,independent,standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""restaurant""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/11610244769,Saucy Dough,,51.4525812,-2.6034284,Food & Produce,food_produce,food-and-produce,,brandon-hill,saucy-dough,pending,independent,standard,,,,https://www.saucy-dough.com/,,Tu-Sa 10:00-18:00,,,,,,,,,,,,5,0,1075715,,,,,,,,,,,,,,,"{""restaurant"",""hungarian""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/11670174843,Square Club,,51.4553396,-2.6065951,Food & Produce,food_produce,food-and-produce,,brandon-hill,square-club,closed,independent,standard,,,,,,,,,,,,,,,,,,Pass,,965721,,,,,,,,,,,,,,,"{""restaurant""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/12375791342,My Burrito,"Waverley House Cathedral Walk, Bristol, BS1 5LW",51.4495064,-2.6027411,Food & Produce,food_produce,food-and-produce,bristol,city-centre,my-burrito,pending,independent,standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""restaurant""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/12959516233,Broken Dock,"Millennium Promenade, Bristol, BS1 5SY",51.449585,-2.6057055,Food & Produce,food_produce,food-and-produce,bristol,spike-island,broken-dock,closed,independent,standard,,,,,,,,,,,,,,,,,,3,5,1747973,,,,,,,,,,,,,,,"{""restaurant""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/12959516246,Harbour Hub,"Lime Kiln Road, Bristol, BS1 5AU",51.4499095,-2.6060658,Food & Produce,food_produce,food-and-produce,bristol,city-centre,harbour-hub,pending,independent,standard,,,,,,"Mo-Th 12:00-22:00; Fr,Sa 09:00-22:00; Su 09:00-21:00",,,,,,,,,,,,5,5,1532339,,,,,,,,,,,,,,,"{""restaurant""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/12959516255,Restore,,51.449892,-2.6063525,Food & Produce,food_produce,food-and-produce,,spike-island,restore,unverified,independent,standard,,,,,,,,,,,,,,,,,,5,5,1518138,,,,,,,,,,,,,,,"{""deli""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/12961242030,Steak of the Art,"Balmoral House Cathedral Walk, Bristol, BS1 5LW",51.4496316,-2.6030011,Food & Produce,food_produce,food-and-produce,bristol,city-centre,steak-of-the-art,closed,independent,standard,,,,,,,,,,,,,,,,,,5,0,564331,,,,,,,,,,,,,,,"{""restaurant"",""steak_house""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/12961242059,PizzaExpress,"Building 8 Explore Lane, Bristol, BS1 5TY",51.4499452,-2.6022227,Food & Produce,food_produce,food-and-produce,bristol,city-centre,pizzaexpress,pending,independent,standard,,,,https://www.pizzaexpress.com/bristol-harbourside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""restaurant"",""pizza""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/12961242061,Tesco Express,"Canons Way, Bristol, BS1 5JZ",51.4499169,-2.6028876,Food & Produce,food_produce,food-and-produce,bristol,city-centre,tesco-express,pending,chain,low,,,,https://www.tesco.com/store-locator/bristol/7-millennium-parade,,,,,,,,,,,,,,5,0,310456,,,,,,,,,,,,,,,"{""convenience""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/13140802663,Hotwells Eatery,"4 Jacobs Wells Road, Bristol, BS8 1EA",51.45113,-2.6076958,Food & Produce,food_produce,food-and-produce,bristol,city-centre,hotwells-eatery,pending,independent,standard,,,info@hotwellseatery.co.uk,,,"Tu-Fr 08:30-14:00,17:00-23:00; Sa-Su 09:00-14:00,17:00-23:00",,,,,,,,,,,,5,5,1843072,,,,,,,,,,,,,,,"{""restaurant"",""indian""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/4538695029,Hanover Street Bistro,"Bristol Hippodrome Colston Avenue, Bristol, BS1 4UZ",51.4530972,-2.5983075,Food & Produce,food_produce,food-and-produce,bristol,city-centre,hanover-street-bistro,pending,independent,standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""restaurant""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/5254795218,The Harbourside Market,"Bristol, BS1 4DA",51.4526246,-2.5975738,Food & Produce,food_produce,food-and-produce,bristol,brandon-hill,the-harbourside-market,pending,independent,standard,,,,,,We-Th 12:00-14:30; Sa-Su 11:00-16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""marketplace""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/6122351967,Miller & Carter Steakhouse,"Marriott Royal Hotel College Green, Bristol, BS1 5TA",51.4516769,-2.5994991,Food & Produce,food_produce,food-and-produce,bristol,city-centre,miller-carter-steakhouse,pending,independent,standard,,,,https://www.millerandcarter.co.uk/restaurants/south-west/millerandcarterbristolcitycentre,,,,,,,,,,,,,,5,0,1092236,,,,,,,,,,,,,,,"{""restaurant"",""steak_house""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/12421175032,Meet up noodle bar,,51.4531036,-2.5963192,Food & Produce,food_produce,food-and-produce,,redcliffe,meet-up-noodle-bar,unverified,independent,standard,,,,,,,,,,,,,,,,,,5,5,1723972,,,,,,,,,,,,,,,"{""restaurant"",""noodle""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/12435832628,Langyu,"Bristol, BS1 1NA",51.4534729,-2.5957437,Food & Produce,food_produce,food-and-produce,bristol,broadmead,langyu,pending,independent,standard,,,,,,,,,,,,,,,,,,5,5,1753634,,,,,,,,,,,,,,,"{""convenience"",""chinese"",""japanese"",""korean""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/12802207576,Bambalan,"Beacon Tower Colston Street, Bristol, BS1 4XE",51.4544053,-2.5976217,Food & Produce,food_produce,food-and-produce,bristol,city-centre,bambalan,pending,independent,standard,,,,,,,,,,,,,,,,,,5,5,655837,,,,,,,,,,,,,,,"{""restaurant""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/12973082089,Za Za Bazaar,"U Shed Canons Road, Bristol, BS1 5UH, GB",51.450495,-2.5984782,Food & Produce,food_produce,food-and-produce,bristol,city-centre,za-za-bazaar,pending,independent,standard,,+44 117 9220330,enquiries@zazabazaar.com,http://www.zazabazaar.com/,,,http://www.facebook.com/ZaZaBazaar,,ZaZaBazaar,,,,,,,,Q67175730,5,0,310791,,,,,,,,,,,,,,,"{""restaurant"",""regional""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/12973154723,Izakaya,"39-43 College Green, Bristol, BS1 5SH",51.4524634,-2.5991253,Food & Produce,food_produce,food-and-produce,bristol,city-centre,izakaya,pending,independent,standard,,,,,,,,,,,,,,,,,,4,5,1049089,,,,,,,,,,,,,,,"{""restaurant"",""japanese""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/13043575645,Pho,"28 Clare Street, Bristol, BS1 1YA, GB",51.4539449,-2.5953749,Food & Produce,food_produce,food-and-produce,bristol,city-centre,pho,pending,independent,standard,,,,https://www.phocafe.co.uk/locations/bristol/,,,,,,,,,,,,,,5,0,848499,,,,,,,,,,,,,,,"{""restaurant"",""vietnamese""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/2988644443,M&S Food,,51.4585046,-2.5963784,Food & Produce,food_produce,food-and-produce,,kingsdown,m-s-food,pending,independent,standard,,,,https://www.marksandspencer.com/stores/bristol-royal-nhs-hospital-1259,,Mo-Fr 07:00-21:00; Sa 07:00-20:00; Su 09:00-17:00,,,,,,,,,,,,5,0,1685463,,,,,,,,,,,,,,,"{""convenience""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/1892330960,Whiteladies Road Farmers' Market,,51.4680955,-2.6133877,Food & Produce,food_produce,food-and-produce,,clifton,whiteladies-road-farmers-market,unverified,independent,standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""marketplace""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/4636349774,Pepenero,,51.4516525,-2.5945044,Food & Produce,food_produce,food-and-produce,,redcliffe,pepenero,unverified,independent,standard,,,,,,,,,,,,,,,,,,5,0,722809,,,,,,,,,,,,,,,"{""restaurant"",""pizza""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/4741651070,La Lola,"Glass Arcade Saint Nicholas Street, Bristol, BS1 1JQ",51.4541726,-2.5934183,Food & Produce,food_produce,food-and-produce,bristol,broadmead,la-lola,pending,independent,standard,,,,,,,,,,,,,,,,,,4,5,1377978,,,,,,,,,,,,,,,"{""restaurant"",""spanish""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/5158767921,The Ox,"43-45 Corn Street, Bristol, BS1 1HT",51.4544608,-2.5944729,Food & Produce,food_produce,food-and-produce,bristol,city-centre,the-ox,pending,independent,standard,,,,,,,,,,,,,,,,,,5,0,620246,,,,,,,,,,,,,,,"{""restaurant""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/5227261018,Flat Iron Bristol,"30 Clare Street, Bristol, BS1 1YH",51.454011,-2.5951138,Food & Produce,food_produce,food-and-produce,bristol,city-centre,flat-iron-bristol,pending,independent,standard,,,,https://flatironsteak.co.uk/restaurant/bristol/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""restaurant"",""steak_house""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/5492266401,Hot Sauce Emporium,"Corn Street, Bristol, BS1 1HQ",51.454533,-2.5934404,Food & Produce,food_produce,food-and-produce,bristol,city-centre,hot-sauce-emporium,pending,independent,standard,,,,,,,,,,,,,,,,,,5,0,310381,,,,,,,,,,,,,,,"{""deli""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/6708343732,Hoba,,51.4516096,-2.5943149,Food & Produce,food_produce,food-and-produce,,redcliffe,hoba,unverified,independent,standard,,,,,,,,,,,,,,,,,,3,10,1761641,,,,,,,,,,,,,,,"{""restaurant"",""kebab""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/9689558217,Bocabar-Finzels,"1 Hawkins Lane, BS1 6JQ",51.4539791,-2.5891427,Food & Produce,food_produce,food-and-produce,bristol,broadmead,bocabar-finzels,pending,independent,standard,,,,https://www.bocabar.co.uk/finzels,,Mo-Th 12:00-23:00; Fr 12:00-24:00; Sa 10:30-24:00; Su off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""restaurant""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/10847736105,Lamaya,Hawkins Lane,51.4541718,-2.5893632,Food & Produce,food_produce,food-and-produce,,broadmead,lamaya,pending,independent,standard,,,,,,Mo-Su 12:00-23:00,,,,,,,,,,,,5,5,414422,,,,,,,,,,,,,,,"{""restaurant"",""lebanese""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/12422238998,Red tiger Malaysian Street food,,51.4540274,-2.5930786,Food & Produce,food_produce,food-and-produce,,broadmead,red-tiger-malaysian-street-food,unverified,independent,standard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""restaurant"",""asian""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/12630418976,Le vignoble,,51.454243,-2.5894228,Food & Produce,food_produce,food-and-produce,,broadmead,le-vignoble,unverified,independent,standard,,,,,,"Mo-Th 12:00-23:00; Fr,Sa 12:00-24:00",,,,,,,,,,,,5,0,1171189,,,,,,,,,,,,,,,"{""restaurant""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/13101183745,San Carlo,"44 Corn Street, Bristol, BS1 1HQ",51.4543925,-2.5940627,Food & Produce,food_produce,food-and-produce,bristol,city-centre,san-carlo,pending,independent,standard,,,,,,Tu-Su 12:00-21:00,,,,,,,,,,,,5,0,312643,,,,,,,,,,,,,,,"{""restaurant""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/13114852098,Rudy's,"36-38 Baldwin Street, Bristol, BS1 1NR",51.4532622,-2.5943528,Food & Produce,food_produce,food-and-produce,bristol,city-centre,rudys,pending,independent,standard,,,,https://www.rudyspizza.co.uk/location/bristol/,,,,,,,,,,,,,,5,0,1846924,,,,,,,,,,,,,,,"{""restaurant"",""pizza""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/13114906356,Pasture Butchers,"Tannery House St Thomas Street, Bristol, BS1 6ZD",51.4517079,-2.5891006,Food & Produce,food_produce,food-and-produce,bristol,redcliffe,pasture-butchers,pending,independent,standard,,,,https://primebypasture.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{""butcher""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
node/13114906357,Prime,"Tannery House St Thomas Street, Bristol, BS1 6ZD",51.4516748,-2.5890785,Food & Produce,food_produce,food-and-produce,bristol,redcliffe,prime,pending,independent,standard,,,,https://primebypasture.com/,,,,,,,,,,,,,,5,5,1843070,,,,,,,,,,,,,,,"{""restaurant""}",OpenStreetMap,2026-04-19,2026-04-19 07:40:05
